Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
1786622, 1, 1, 0, 1, 0, 1, 
1799955, 1, 1, 0, 1, 0, 1, 
1813288, 1, 1, 0, 1, 0, 1, 
1826621, 1, 1, 0, 1, 0, 1, 
1839954, 1, 1, 0, 1, 0, 1, 
1853287, 1, 1, 0, 1, 0, 1, 
1866620, 1, 1, 0, 1, 0, 1, 
1879953, 1, 1, 0, 1, 0, 1, 
1893286, 1, 1, 0, 1, 0, 1, 
1906619, 1, 1, 0, 1, 0, 1, 
1919952, 1, 1, 0, 1, 0, 1, 
1933285, 1, 1, 0, 1, 0, 1, 
1946618, 1, 1, 0, 1, 0, 1, 
1959951, 1, 1, 0, 1, 0, 1, 
1973284, 1, 1, 0, 1, 0, 1, 
1986617, 1, 1, 0, 1, 0, 1, 
1999950, 1, 1, 0, 1, 0, 1, 
2013283, 1, 1, 0, 1, 0, 1, 
2026616, 1, 1, 0, 1, 0, 1, 
2039949, 1, 1, 0, 1, 0, 1, 
2053282, 1, 1, 0, 1, 0, 1, 
2066615, 1, 1, 0, 1, 0, 1, 
2079948, 1, 1, 0, 1, 0, 1, 
2093281, 1, 1, 0, 1, 0, 1, 
2106614, 1, 1, 0, 1, 0, 1, 
2119947, 1, 1, 0, 1, 0, 1, 
2133280, 1, 1, 0, 1, 0, 1, 
2146613, 1, 1, 0, 1, 0, 1, 
2159946, 1, 1, 0, 1, 0, 1, 
2173279, 1, 1, 0, 1, 0, 1, 
2186612, 1, 1, 0, 1, 0, 1, 
2199945, 1, 1, 0, 1, 0, 1, 
2213278, 1, 1, 0, 1, 0, 1, 
2226611, 1, 1, 0, 1, 0, 1, 
2239944, 1, 1, 0, 1, 0, 1, 
2253277, 1, 1, 0, 1, 0, 1, 
2266610, 1, 1, 0, 1, 0, 1, 
2279943, 1, 1, 0, 1, 0, 1, 
2293276, 1, 1, 0, 1, 0, 1, 
2306609, 1, 1, 0, 1, 0, 1, 
2319942, 1, 1, 0, 1, 0, 1, 
2333275, 1, 1, 0, 1, 0, 1, 
2346608, 1, 1, 0, 1, 0, 1, 
2359941, 1, 1, 0, 1, 0, 1, 
2373274, 1, 1, 0, 1, 0, 1, 
2386607, 1, 1, 0, 1, 0, 1, 
2399940, 1, 1, 0, 1, 0, 1, 
2413273, 1, 1, 0, 1, 0, 1, 
2426606, 1, 1, 0, 1, 0, 1, 
2439939, 1, 1, 0, 1, 0, 1, 
2453272, 1, 1, 0, 1, 0, 1, 
2466605, 1, 1, 0, 1, 0, 1, 
2479938, 1, 1, 0, 1, 0, 1, 
2493271, 1, 1, 0, 1, 0, 1, 
2506604, 1, 1, 0, 1, 0, 1, 
2519937, 1, 1, 0, 1, 0, 1, 
2533270, 1, 1, 0, 1, 0, 1, 
2546603, 1, 1, 0, 1, 0, 1, 
2559936, 1, 1, 0, 1, 0, 1, 
2573269, 1, 1, 0, 1, 0, 1, 
2586602, 1, 1, 0, 1, 0, 1, 
2599935, 1, 1, 0, 1, 0, 1, 
2613268, 1, 1, 0, 1, 0, 1, 
2626601, 1, 1, 0, 1, 0, 1, 
2639934, 1, 1, 0, 1, 0, 1, 
2653267, 1, 1, 0, 1, 0, 1, 
2666600, 1, 1, 0, 1, 0, 1, 
2679933, 1, 1, 0, 1, 0, 1, 
2693266, 1, 1, 0, 1, 0, 1, 
2706599, 1, 1, 0, 1, 0, 1, 
2719932, 1, 1, 0, 1, 0, 1, 
2733265, 1, 1, 0, 1, 0, 1, 
2746598, 1, 1, 0, 1, 0, 1, 
2759931, 1, 1, 0, 1, 0, 1, 
2773264, 1, 1, 0, 1, 0, 1, 
2786597, 1, 1, 0, 1, 0, 1, 
2799930, 1, 1, 0, 1, 0, 1, 
2813263, 1, 1, 0, 1, 0, 1, 
2826596, 1, 1, 0, 1, 0, 1, 
2839929, 1, 1, 0, 1, 0, 1, 
2853262, 1, 1, 0, 1, 0, 1, 
2866595, 1, 1, 0, 1, 0, 1, 
2879928, 1, 1, 0, 1, 0, 1, 
2893261, 1, 1, 0, 1, 0, 1, 
2906594, 1, 1, 0, 1, 0, 1, 
2919927, 1, 1, 0, 1, 0, 1, 
2933260, 1, 1, 0, 1, 0, 1, 
2946593, 1, 1, 0, 1, 0, 1, 
2959926, 1, 1, 0, 1, 0, 1, 
2973259, 1, 1, 0, 1, 0, 1, 
2986592, 1, 1, 0, 1, 0, 1, 
2999925, 1, 1, 0, 1, 0, 1, 
3013258, 1, 1, 0, 1, 0, 1, 
3026591, 1, 1, 0, 1, 0, 1, 
3039924, 1, 1, 0, 1, 0, 1, 
3053257, 1, 1, 0, 1, 0, 1, 
3066590, 1, 1, 0, 1, 0, 1, 
3079923, 1, 1, 0, 1, 0, 1, 
3093256, 1, 1, 0, 1, 0, 1, 
3106589, 1, 1, 0, 1, 0, 1, 
3119922, 1, 1, 0, 1, 0, 1, 
3133255, 1, 1, 0, 1, 0, 1, 
3146588, 1, 1, 0, 1, 0, 1, 
3159921, 1, 1, 0, 1, 0, 1, 
3173254, 1, 1, 0, 1, 0, 1, 
3186587, 1, 1, 0, 1, 0, 1, 
3199920, 1, 1, 0, 1, 0, 1, 
3213253, 1, 1, 0, 1, 0, 1, 
